category,glyph name,composition,code point,(char.),(character name),(compatible glyph name)
component,dieresis-cans,,,,,dieresisCans
component,ringAbove-cans,,,,,ringAboveCans
component,dotAbove-cans,,,,,dotAboveCans
component,crossbarAbove-cans,,,,,crossbarAboveCans
component,colon-cans,,,,,colonCans
punctuation,fullStop-cans,subCross-cans,0x166E,᙮,CANADIAN SYLLABICS FULL STOP,fullStopCans
punctuation,doubleDash-cans,,0x1400,᐀,CANADIAN SYLLABICS HYPHEN,doubleDashCans
final,supLatinL-cans,,0x18F3,ᣳ,CANADIAN SYLLABICS BEAVER DENE L,supLatinLCans
final,supLatinR-cans,,0x18F4,ᣴ,CANADIAN SYLLABICS BEAVER DENE R,supLatinRCans
final,supCross-cans,,0x157D,ᕽ,CANADIAN SYLLABICS HK,supCrossCans
final,subCross-cans,,0x1541,ᕁ,CANADIAN SYLLABICS SAYISI YI,subCrossCans
final,supL-cans,,0x14EB,ᓫ,CANADIAN SYLLABICS WEST-CREE L,supLCans
final,supR-cans,,0x1551,ᕑ,CANADIAN SYLLABICS WEST-CREE R,supRCans
final,ring-cans,,0x1424,ᐤ,CANADIAN SYLLABICS FINAL RING,ringCans
final,supRing-cans,,0x18DE,ᣞ,CANADIAN SYLLABICS FINAL SMALL RING,supRingCans
final,dot-cans,,0x1427,ᐧ,CANADIAN SYLLABICS FINAL MIDDLE DOT,dotCans
final,supDot-cans,,0x18DF,ᣟ,CANADIAN SYLLABICS FINAL RAISED DOT,supDotCans
final,supDoubleDash-cans,,0x167F,ᙿ,CANADIAN SYLLABICS BLACKFOOT W,supDoubleDashCans
final,supPipe-cans,,0x144A,ᑊ,CANADIAN SYLLABICS WEST-CREE P,supPipeCans
final,supDoublePipe-cans,"supPipe-cans, supPipe-cans",0x1426,ᐦ,CANADIAN SYLLABICS FINAL DOUBLE SHORT VERTICAL STROKES,supDoublePipeCans
final,supAcute-cans,,0x141F,ᐟ,CANADIAN SYLLABICS FINAL ACUTE,supAcuteCans
final,supDoubleAcute-cans,"supAcute-cans, supAcute-cans",0x1425,ᐥ,CANADIAN SYLLABICS FINAL DOUBLE ACUTE,supDoubleAcuteCans
final,supGrave-cans,,0x1420,ᐠ,CANADIAN SYLLABICS FINAL GRAVE,supGraveCans
final,supDash-cans,,0x1428,ᐨ,CANADIAN SYLLABICS FINAL SHORT HORIZONTAL STROKE,supDashCans
final,supDoubleDashWithPipe-cans,,0x167E,ᙾ,CANADIAN SYLLABICS WOODS-CREE FINAL TH,supDoubleDashWithPipeCans
final,supLeftHalfRing-cans,,0x14BC,ᒼ,CANADIAN SYLLABICS WEST-CREE M,supLeftHalfRingCans
final,supRightHalfRing-cans,,0x1423,ᐣ,CANADIAN SYLLABICS FINAL RIGHT HALF RING,supRightHalfRingCans
final,supTopHalfRing-cans,,0x1422,ᐢ,CANADIAN SYLLABICS FINAL TOP HALF RING,supTopHalfRingCans
final,supBottomHalfRing-cans,,0x1421,ᐡ,CANADIAN SYLLABICS FINAL BOTTOM HALF RING,supBottomHalfRingCans
final,supPlus-cans,,0x1429,ᐩ,CANADIAN SYLLABICS FINAL PLUS,supPlusCans
final,midPlus-cans,,0x1540,ᕀ,CANADIAN SYLLABICS WEST-CREE Y,midPlusCans
final,supDownTack-cans,,0x142A,ᐪ,CANADIAN SYLLABICS FINAL DOWN TACK,supDownTackCans
final,supAi-cans,,0x141C,ᐜ,CANADIAN SYLLABICS AI,supAiCans
final,supY-cans,,0x153F,ᔿ,CANADIAN SYLLABICS BIBLE-CREE Y,supYCans
final,subRing-cans,,,,,subRingCans
final,midLatinH-cans,,0x144B,ᑋ,CANADIAN SYLLABICS CARRIER H,midLatinHCans
final,midLatinS-cans,,0x1506,ᔆ,CANADIAN SYLLABICS ATHAPASCAN S,midLatinSCans
final,midLatinSWithFlatTerminals-cans,,0x18F5,ᣵ,CANADIAN SYLLABICS CARRIER DENTAL S,midLatinSWithFlatTerminalsCans
final,midLatinSWithStroke-cans,,0x165A,ᙚ,CANADIAN SYLLABICS CARRIER SH,midLatinSWithStrokeCans
final,midLatinZ-cans,,0x1646,ᙆ,CANADIAN SYLLABICS CARRIER Z,midLatinZCans
final,midLatinZWithStroke-cans,,0x1647,ᙇ,CANADIAN SYLLABICS CARRIER INITIAL Z,midLatinZWithStrokeCans
final,midLatinTurnedH-cans,,0x1DA3,ᶣ,MODIFIER LETTER SMALL TURNED H,midLatinTurnedHCans
final,dot_supRing-cans,"dot-cans, supRing-cans",0x141D,ᐝ,CANADIAN SYLLABICS Y-CREE W,dotCans_supRingCans
final,supDoubleAsterisk-cans,,0x156F,ᕯ,CANADIAN SYLLABICS TTH,supDoubleAsteriskCans
final,supI-cans,,0x141E,ᐞ,CANADIAN SYLLABICS GLOTTAL STOP,supICans
final,supDotI-cans,,0x18DC,ᣜ,CANADIAN SYLLABICS EASTERN W,supDotICans
final,supIDot-cans,,0x18DD,ᣝ,CANADIAN SYLLABICS WESTERN W,supIDotCans
final,supPi-cans,,0x18D4,ᣔ,CANADIAN SYLLABICS OJIBWAY P,supPiCans
